# Created by:        SpecsLab Prodigy, Version 4.109.1-r116302 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       yes
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         Local Time
#
# Group:                        Cell door open cooling
#
# Region:                       Na1s
# Spectrum ID:                  4
# Acquisition Date:             02/01/24 17:56:44 UTC+1
# Analysis Method:              XPS
# Analyzer:                     Phoibos DLD
# Analyzer Lens:                AngleResolvedMode30:1.5kV
# Analyzer Slit:                3:1x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Scan Variable:                Binding Energy
# Curves/Scan:                  1
# Values/Curve:                 241
# Dwell Time:                   0.1
# Excitation Energy:            1270
# Binding Energy:               1080
# Pass Energy:                  50
# Bias Voltage:                 5
# Detector Voltage:             1915
# Eff. Workfunction:            4.37
# Source:                       Monochromator (Dummy)
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0, Scan: 0
#
# Acquisition Date:             02/01/24 17:47:46 UTC+1
# ColumnLabels:                 energy counts/s
#
1070.1  8614.6078
1070.05  8258.0645
1070  8165.2217
1069.95  8037.905
1069.9  7901.2601
1069.85  8277.8602
1069.8  8205.1224
1069.75  7871.1314
1069.7  8506.8238
1069.65  8489.9929
1069.6  8635.7772
1069.55  8178.2449
1069.5  8208.8312
1069.45  8204.9366
1069.4  8228.7967
1069.35  7968.6756
1069.3  8180.8706
1069.25  8587.1223
1069.2  8490.2394
1069.15  8156.4809
1069.1  8298.1155
1069.05  8196.8904
1069  8602.9609
1068.95  8393.8101
1068.9  7934.0846
1068.85  8017.1958
1068.8  7929.6121
1068.75  8583.9848
1068.7  8436.8434
1068.65  8621.9663
1068.6  7965.9246
1068.55  8067.2862
1068.5  7927.8362
1068.45  8114.0582
1068.4  8451.3734
1068.35  8050.9508
1068.3  7952.0001
1068.25  8343.3917
1068.2  7851.0933
1068.15  8253.7269
1068.1  7984.6744
1068.05  8281.4465
1068  8395.1336

# Cycle: 0, Curve: 0, Scan: 1
#
# Acquisition Date:             02/01/24 17:48:25 UTC+1
# ColumnLabels:                 energy counts/s
#
1080  8516.1559
1079.95  7963.0991
1079.9  8742.5393
1079.85  8132.6932
1079.8  7624.7643
1079.75  8036.3611
1079.7  8366.2224
1079.65  8099.6791
1079.6  8275.9847
1079.55  8188.1454
1079.5  7978.7919
1079.45  7687.6959
1079.4  8094.0546
1079.35  8346.5418
1079.3  8145.7933
1079.25  8391.673
1079.2  8356.7153
1079.15  8135.6353
1079.1  8324.9143
1079.05  7999.2453
1079  8334.0725
1078.95  8330.3442
1078.9  8201.5276
1078.85  8308.56
1078.8  8450.608
1078.75  8197.0471
1078.7  8266.208
1078.65  8160.5112
1078.6  8098.9974
1078.55  8296.1038
1078.5  8578.536
1078.45  8572.6875
1078.4  8433.7768
1078.35  8577.2626
1078.3  8121.8595
1078.25  7919.3147
1078.2  8360.8557
1078.15  8622.2184
1078.1  8000.9966
1078.05  8221.7621
1078  8208.423
1077.95  8079.7656
1077.9  8159.2313
1077.85  8128.6687
1077.8  8130.0785
1077.75  8416.3616
1077.7  8410.4854
1077.65  8206.442
1077.6  7732.8968
1077.55  8114.6596
1077.5  8143.6076
1077.45  7778.3009
1077.4  8041.6166
1077.35  8266.2165
1077.3  8663.2383
1077.25  8567.5596
1077.2  8251.6194
1077.15  8289.6051
1077.1  8527.4284
1077.05  8919.911
1077  8573.8263
1076.95  7722.4296
1076.9  7945.3978
1076.85  8373.2143
1076.8  8480.7416
1076.75  7872.8439
1076.7  8238.2554
1076.65  7872.4582
1076.6  8484.8694
1076.55  8093.096
1076.5  7986.679
1076.45  8019.1601
1076.4  8564.2765
1076.35  8318.9191
1076.3  8302.8784
1076.25  8774.4372
1076.2  8504.778
1076.15  8104.8067
1076.1  8148.6156
1076.05  8462.3881
1076  8204.1788
1075.95  8251.8985
1075.9  8182.5157
1075.85  8662.4826
1075.8  8248.7808
1075.75  7833.7446
1075.7  7944.8263
1075.65  8219.3859
1075.6  8074.2667
1075.55  8208.2482
1075.5  8374.2693
1075.45  8262.861
1075.4  7809.3378
1075.35  8081.2573
1075.3  8156.8688
1075.25  8581.1615
1075.2  8200.7654
1075.15  8440.6887
1075.1  8039.0629
1075.05  8167.8454
1075  8430.4716
1074.95  8402.5638
1074.9  8297.3522
1074.85  8480.836
1074.8  8699.0806
1074.75  8534.912
1074.7  8278.2992
1074.65  8093.8455
1074.6  8405.6457
1074.55  8462.225
1074.5  8730.4189
1074.45  8444.3718
1074.4  8259.0905
1074.35  7942.9599
1074.3  8326.049
1074.25  8288.8658
1074.2  8122.8266
1074.15  8690.0859
1074.1  8039.7304
1074.05  8350.3272
1074  8400.4635
1073.95  8461.3165
1073.9  8308.7547
1073.85  8502.4603
1073.8  8408.5052
1073.75  8481.0139
1073.7  8820.7293
1073.65  8522.5769
1073.6  8368.2435
1073.55  8777.1474
1073.5  8729.6133
1073.45  8693.7402
1073.4  8164.1758
1073.35  8254.4628
1073.3  8647.693
1073.25  8614.08
1073.2  8442.9696
1073.15  8761.1993
1073.1  8601.1038
1073.05  8954.849
1073  8488.2383
1072.95  8536.8986
1072.9  8973.1474
1072.85  8867.857
1072.8  8908.2875
1072.75  8273.5442
1072.7  8961.2165
1072.65  8445.573
1072.6  8543.0571
1072.55  8665.1115
1072.5  8493.7865
1072.45  8772.6877
1072.4  8488.8259
1072.35  8620.9572
1072.3  8547.8292
1072.25  8329.7706
1072.2  8648.6267
1072.15  8467.798
1072.1  8694.2647
1072.05  8639.522
1072  8387.4795
1071.95  7587.4119
1071.9  8609.5885
1071.85  8435.1642
1071.8  7846.7914
1071.75  7901.2437
1071.7  8140.7634
1071.65  8001.3058
1071.6  8498.6492
1071.55  8146.6806
1071.5  7751.911
1071.45  8098.2816
1071.4  8197.1055
1071.35  8341.2046
1071.3  8004.4249
1071.25  7932.1994
1071.2  7642.2941
1071.15  8171.6145
1071.1  8293.8863
1071.05  8263.0271
1071  8149.8568
1070.95  8381.4285
1070.9  7987.3575
1070.85  8355.1125
1070.8  8384.6565
1070.75  8479.0429
1070.7  8671.0596
1070.65  8106.2736
1070.6  8070.5225
1070.55  8330.332
1070.5  8289.6702
1070.45  8075.6485
1070.4  8547.0048
1070.35  8138.3437
1070.3  8070.652
1070.25  8090.0796
1070.2  7997.2916
1070.15  8199.8019
1070.1  8184.7917
1070.05  8247.8846
1070  7939.1641
1069.95  8324.1814
1069.9  8027.774
1069.85  7819.1103
1069.8  7676.3072
1069.75  8036.8696
1069.7  8128.6418
1069.65  7910.511
1069.6  8052.1335
1069.55  8295.2356
1069.5  8249.0428
1069.45  8159.5353
1069.4  7621.927
1069.35  8154.5876
1069.3  8491.2627
1069.25  8246.2327
1069.2  7834.7568
1069.15  7841.5355
1069.1  8283.8143
1069.05  8502.7106
1069  7805.2263
1068.95  8086.321
1068.9  8625.1348
1068.85  8772.4528
1068.8  8661.3397
1068.75  8349.8252
1068.7  7946.918
1068.65  8142.0632
1068.6  8563.8419
1068.55  8586.2866
1068.5  8235.2368
1068.45  8206.0366
1068.4  8132.6962
1068.35  7908.1654
1068.3  8014.9688
1068.25  8032.4174
1068.2  8146.7992
1068.15  7913.8478
1068.1  7945.1205
1068.05  8436.303
1068  7944.6452

# Cycle: 0, Curve: 0, Scan: 2
#
# Acquisition Date:             02/01/24 17:49:03 UTC+1
# ColumnLabels:                 energy counts/s
#
1080  8104.0701
1079.95  7778.6167
1079.9  8005.367
1079.85  8097.7734
1079.8  8619.2671
1079.75  8231.0045
1079.7  8150.0539
1079.65  8015.8173
1079.6  7820.0745
1079.55  7876.7828
1079.5  8473.204
1079.45  8558.1937
1079.4  8389.3221
1079.35  8688.6168
1079.3  8495.9363
1079.25  8215.7326
1079.2  8137.5162
1079.15  7843.6616
1079.1  8203.5911
1079.05  8063.608
1079  8433.6153
1078.95  8164.4274
1078.9  7963.0694
1078.85  8079.3035
1078.8  8259.0996
1078.75  8261.0569
1078.7  8170.9893
1078.65  7584.7448
1078.6  8015.5468
1078.55  8264.783
1078.5  7612.9582
1078.45  7787.9201
1078.4  8392.6958
1078.35  8350.6155
1078.3  8073.5836
1078.25  8378.815
1078.2  8463.2707
1078.15  8030.4864
1078.1  8415.5219
1078.05  8808.4875
1078  8709.6568
1077.95  8189.4406
1077.9  8132.1177
1077.85  8152.1532
1077.8  7788.4936
1077.75  8220.1026
1077.7  8939.2561
1077.65  8447.8135
1077.6  8016.2107
1077.55  8170.3731
1077.5  8270.715
1077.45  8134.304
1077.4  8031.7743
1077.35  8233.0788
1077.3  8159.819
1077.25  8084.322
1077.2  8204.1215
1077.15  8002.9549
1077.1  7966.4906
1077.05  7738.376
1077  8381.8857
1076.95  7824.157
1076.9  8043.8949
1076.85  8138.2447
1076.8  7875.6064
1076.75  8234.8083
1076.7  8656.4136
1076.65  8546.526
1076.6  8498.9528
1076.55  8153.3152
1076.5  7689.9377
1076.45  8445.5643
1076.4  8309.4304
1076.35  8475.9452
1076.3  8137.6077
1076.25  8252.501
1076.2  8219.4932
1076.15  8533.5327
1076.1  8120.1534
1076.05  7940.7801
1076  8007.5648
1075.95  7828.1024
1075.9  8029.6197
1075.85  7720.8363
1075.8  8187.2163
1075.75  8558.9063
1075.7  8967.7778
1075.65  8314.5153
1075.6  7899.189
1075.55  8062.2661
1075.5  8472.7077
1075.45  8039.7863
1075.4  7871.5044
1075.35  8075.9514
1075.3  8469.9395
1075.25  8430.5806
1075.2  7970.1051
1075.15  8369.2125
1075.1  7894.3774
1075.05  7433.3931
1075  8309.0563
1074.95  8220.5865
1074.9  8174.0295
1074.85  8249.5822
1074.8  7840.6138
1074.75  8348.1117
1074.7  8481.3081
1074.65  8068.5451
1074.6  8397.0417
1074.55  8446.6829
1074.5  8551.0645
1074.45  7986.125
1074.4  8053.3174
1074.35  8303.4205
1074.3  8304.5911
1074.25  8205.5087
1074.2  8399.4521
1074.15  8166.2923
1074.1  8269.9446
1074.05  8520.3937
1074  8493.4878
1073.95  8338.0845
1073.9  8237.9793
1073.85  8685.3683
1073.8  8653.1679
1073.75  8390.0517
1073.7  8390.4691
1073.65  8293.4378
1073.6  8302.9167
1073.55  8526.2558
1073.5  8739.9035
1073.45  8831.1305
1073.4  8452.4796
1073.35  8280.5439
1073.3  8436.717
1073.25  8467.8139
1073.2  8368.9826
1073.15  8485.3924
1073.1  8738.892
1073.05  8335.3324
1073  8770.3133
1072.95  8388.9578
1072.9  8697.3129
1072.85  9231.1201
1072.8  9012.8315
1072.75  8500.8488
1072.7  8509.6309
1072.65  8344.6019
1072.6  9158.9457
1072.55  9068.9821
1072.5  8847.0859
1072.45  8265.837
1072.4  8669.5023
1072.35  8583.1084
1072.3  8369.5537
1072.25  8747.276
1072.2  8571.2014
1072.15  8472.6233
1072.1  8118.0061
1072.05  8687.342
1072  8490.7898
1071.95  8464.6016
1071.9  8764.8827
1071.85  9154.6053
1071.8  8866.4818
1071.75  8455.2228
1071.7  8419.2636
1071.65  8699.5165
1071.6  8064.5683
1071.55  7912.1625
1071.5  8251.3722
1071.45  8283.5176
1071.4  7752.1072
1071.35  8068.8359
1071.3  8175.6983
1071.25  8121.0296
1071.2  8056.5273
1071.15  8084.2865
1071.1  8519.6536
1071.05  8217.0874
1071  7776.2088
1070.95  8028.7607
1070.9  8363.5679
1070.85  8518.2483
1070.8  8090.3204
1070.75  8208.5925
1070.7  8258.1326
1070.65  8513.7671
1070.6  7975.7905
1070.55  8290.8487
1070.5  8252.6862
1070.45  8265.6821
1070.4  7776.3148
1070.35  8107.7516
1070.3  8390.1796
1070.25  8149.3201
1070.2  8493.434
1070.15  8138.9577
1070.1  8321.1504
1070.05  8082.3165
1070  7962.4354
1069.95  8419.0365
1069.9  8184.5759
1069.85  8467.7843
1069.8  8398.8732
1069.75  7978.9818
1069.7  8349.6102
1069.65  7918.9978
1069.6  8052.3991
1069.55  8302.2453
1069.5  8238.8658
1069.45  8499.6238
1069.4  8475.5827
1069.35  8550.3085
1069.3  8290.5345
1069.25  8275.6157
1069.2  8353.121
1069.15  8549.6871
1069.1  7961.7732
1069.05  8004.6104
1069  8090.294
1068.95  8601.6872
1068.9  8349.9469
1068.85  7898.9489
1068.8  8313.722
1068.75  8428.5077
1068.7  8040.6586
1068.65  8117.5792
1068.6  8298.3515
1068.55  8362.9966
1068.5  7846.4926
1068.45  8248.1539
1068.4  8104.1851
1068.35  8035.2452
1068.3  8404.5201
1068.25  7996.6535
1068.2  8138.2133
1068.15  8131.5865
1068.1  8354.3204
1068.05  8480.4111
1068  7683.4137

# Cycle: 0, Curve: 0, Scan: 3
#
# Acquisition Date:             02/01/24 17:49:41 UTC+1
# ColumnLabels:                 energy counts/s
#
1080  8221.8026
1079.95  7939.4128
1079.9  8222.0884
1079.85  8130.697
1079.8  7842.2262
1079.75  8215.984
1079.7  8258.6684
1079.65  8218.1951
1079.6  8219.1621
1079.55  8454.2822
1079.5  8440.391
1079.45  8627.453
1079.4  8445.9096
1079.35  8243.5719
1079.3  8220.2198
1079.25  7871.8584
1079.2  8180.619
1079.15  8522.4412
1079.1  8337.7601
1079.05  7867.9028
1079  7899.0638
1078.95  7995.0868
1078.9  7880.5376
1078.85  8296.3301
1078.8  8507.6296
1078.75  8461.8798
1078.7  8353.0375
1078.65  7957.9671
1078.6  8001.7665
1078.55  8669.4084
1078.5  8575.3387
1078.45  8613.7974
1078.4  8206.3604
1078.35  7809.5044
1078.3  7902.1995
1078.25  8409.4117
1078.2  8232.1631
1078.15  7834.1958
1078.1  8088.3233
1078.05  8253.3375
1078  8211.7183
1077.95  8064.455
1077.9  8163.7604
1077.85  8369.433
1077.8  8151.2785
1077.75  8481.8242
1077.7  8907.0216
1077.65  7963.7298
1077.6  8128.3743
1077.55  7965.3932
1077.5  8175.2523
1077.45  7911.7402
1077.4  8172.3314
1077.35  8123.5966
1077.3  7642.9786
1077.25  8290.7755
1077.2  7965.67
1077.15  8055.6229
1077.1  8769.6201
1077.05  8039.2422
1077  8521.9894
1076.95  8604.7309
1076.9  8207.3492
1076.85  8242.0298
1076.8  7959.9719
1076.75  8035.1465
1076.7  7637.9055
1076.65  7971.7053
1076.6  8251.2266
1076.55  8200.8457
1076.5  8511.3416
1076.45  8299.9836
1076.4  8409.9342
1076.35  8122.0737
1076.3  8242.5809
1076.25  8253.9415
1076.2  8121.2533
1076.15  8374.0109
1076.1  7869.7694
1076.05  7944.231
1076  8090.2323
1075.95  8096.0272
1075.9  8594.2248
1075.85  7744.2673
1075.8  7944.689
1075.75  8531.4908
1075.7  8715.7508
1075.65  8041.1372
1075.6  8034.3543
1075.55  8077.5124
1075.5  8179.9693
1075.45  8518.658
1075.4  7821.9756
1075.35  8179.8335
1075.3  8170.8341
1075.25  8150.8649
1075.2  8202.6952
1075.15  8546.2015
1075.1  8140.4131
1075.05  7783.0325
1075  8399.2185
1074.95  8238.4714
1074.9  8586.6679
1074.85  7902.6302
1074.8  7724.2278
1074.75  8343.9011
1074.7  8290.149
1074.65  8446.7859
1074.6  8120.8848
1074.55  8150.883
1074.5  8386.919
1074.45  8306.1982
1074.4  8114.5942
1074.35  8430.0797
1074.3  8052.5643
1074.25  8217.6889
1074.2  8115.7508
1074.15  8522.7437
1074.1  8628.7487
1074.05  8572.2075
1074  8151.3609
1073.95  8487.278
1073.9  7969.0001
1073.85  8155.9217
1073.8  7711.9323
1073.75  8523.5158
1073.7  8549.7565
1073.65  8440.9849
1073.6  9053.9389
1073.55  8516.5914
1073.5  8776.07
1073.45  7909.3485
1073.4  8097.2095
1073.35  8279.445
1073.3  9172.9308
1073.25  8763.4835
1073.2  9213.0975
1073.15  8878.8788
1073.1  8462.2357
1073.05  8529.3431
1073  8506.792
1072.95  8806.2974
1072.9  8719.5786
